SDL
	version: 2.0.9
Network
	Initialized.
OpenAL
	vendor: Apple Computer Inc.
	device: Built-in Output
	renderer: Software
	version: 1.1
Render
	ppm: 32.000000
Physics
	bodies: 300
	circle shapes: 100
	segment shapes: 100
	polygon shapes: 200
	pivot joints: 100
	gear joints: 100
	damped springs: 100
OpenGL
	vendor: NVIDIA Corporation
	renderer: NVIDIA GeForce GT 650M OpenGL Engine
	version: 2.1 NVIDIA-12.0.21 355.11.10.50.10.103
	glsl: 1.20
Initializing cpSpace - Chipmunk v7.0.1 (Debug Enabled)
Compile with -DNDEBUG defined to disable debug mode and runtime assertion checks
TextureFactory - Unable to find 'res/sprite_atlas.png' in cache.
TextureFactory - Unable to find 'res/textures/white_box_placeholder.png' in cache.
System - Controller added: 0, 0, PS4 Controller
1 - copy: 1194, iterate: 0, total: 1194
1 - copy: 919, iterate: 0, total: 919
1 - copy: 814, iterate: 0, total: 814
1 - copy: 1070, iterate: 0, total: 1070
1 - copy: 984, iterate: 0, total: 984
1 - copy: 906, iterate: 0, total: 906
1 - copy: 1089, iterate: 0, total: 1089
1 - copy: 1030, iterate: 0, total: 1030
1 - copy: 615, iterate: 0, total: 615
1 - copy: 28560, iterate: 0, total: 28560
1 - copy: 143490, iterate: 0, total: 143490
1 - copy: 1074, iterate: 0, total: 1074
1 - copy: 1069, iterate: 0, total: 1069
1 - copy: 778, iterate: 0, total: 778
1 - copy: 590, iterate: 0, total: 590
1 - copy: 564, iterate: 0, total: 564
1 - copy: 697, iterate: 0, total: 697
1 - copy: 821, iterate: 0, total: 821
1 - copy: 969, iterate: 0, total: 969
1 - copy: 893, iterate: 0, total: 893
1 - copy: 765, iterate: 0, total: 765
1 - copy: 971, iterate: 0, total: 971
1 - copy: 942, iterate: 0, total: 942
1 - copy: 1118, iterate: 0, total: 1118
1 - copy: 919, iterate: 0, total: 919
1 - copy: 541, iterate: 0, total: 541
1 - copy: 993, iterate: 0, total: 993
1 - copy: 146055, iterate: 0, total: 146055
1 - copy: 669, iterate: 0, total: 669
1 - copy: 1058, iterate: 0, total: 1058
1 - copy: 1015, iterate: 0, total: 1015
1 - copy: 819, iterate: 0, total: 819
1 - copy: 143749, iterate: 0, total: 143749
1 - copy: 202459, iterate: 0, total: 202459
1 - copy: 161320, iterate: 0, total: 161320
1 - copy: 788, iterate: 0, total: 788
1 - copy: 263806, iterate: 0, total: 263806
1 - copy: 683, iterate: 0, total: 683
1 - copy: 859, iterate: 0, total: 859
1 - copy: 413104, iterate: 0, total: 413104
1 - copy: 1008, iterate: 0, total: 1008
1 - copy: 929, iterate: 0, total: 929
1 - copy: 416662, iterate: 0, total: 416662
1 - copy: 876, iterate: 0, total: 876
1 - copy: 136989, iterate: 0, total: 136989
1 - copy: 175563, iterate: 0, total: 175563
1 - copy: 630, iterate: 0, total: 630
1 - copy: 358050, iterate: 0, total: 358050
1 - copy: 980, iterate: 0, total: 980
1 - copy: 225785, iterate: 0, total: 225785
1 - copy: 221606, iterate: 0, total: 221606
1 - copy: 153032, iterate: 0, total: 153032
1 - copy: 86814, iterate: 0, total: 86814
1 - copy: 353110, iterate: 0, total: 353110
1 - copy: 961, iterate: 0, total: 961
1 - copy: 128482, iterate: 0, total: 128482
